Time;Pos;Velocity
103489;5.292234;0.100000
103500;5.292234;0.100000
103511;5.292234;0.100000
103522;5.292234;0.100000
103533;5.292234;0.100000
103544;5.292234;0.100000
103555;5.292234;0.100000
103566;5.292234;0.100000
103577;5.292234;0.100000
103588;5.292234;0.100000
103599;5.301438;0.100000
103610;5.309108;0.100000
103621;5.309108;0.100000
103632;5.309108;0.100000
103643;5.309108;0.100000
103654;5.309108;0.100000
103665;5.309108;0.100000
103676;5.309108;0.100000
103687;5.309108;0.100000
103698;5.309108;0.100000
103709;5.309108;0.100000
103720;5.309108;0.100000
103731;5.309108;0.100000
103742;5.309108;0.100000
103753;5.315244;0.100000
103764;5.325982;0.100000
103775;5.325982;0.100000
103786;5.325982;0.100000
103797;5.325982;0.100000
103808;5.325982;0.100000
103819;5.325982;0.100000
103830;5.325982;0.100000
103841;5.325982;0.100000
103852;5.325982;0.100000
103863;5.325982;0.100000
103874;5.325982;0.100000
103885;5.325982;0.100000
103896;5.325982;0.100000
103907;5.325982;0.100000
103918;5.339787;0.100000
103929;5.342855;0.100000
103940;5.342855;0.100000
103951;5.342855;0.100000
103962;5.342855;0.100000
103973;5.342855;0.100000
103984;5.342855;0.100000
103995;5.342855;0.100000
104006;5.342855;0.100000
104017;5.342855;0.100000
104028;5.342855;0.100000
104039;5.342855;0.100000
104050;5.342855;0.100000
104061;5.342855;0.100000
104072;5.353593;0.100000
104083;5.359729;0.100000
104094;5.361263;0.100000
104105;5.361263;0.100000
104116;5.361263;0.100000
104127;5.361263;0.100000
104138;5.361263;0.100000
104149;5.361263;0.100000
104160;5.361263;0.100000
104171;5.361263;0.100000
104182;5.359729;0.100000
104193;5.361263;0.100000
104204;5.361263;0.100000
104215;5.361263;0.100000
104226;5.367399;0.100000
104237;5.378137;0.100000
104248;5.378137;0.100000
104259;5.378137;0.100000
104270;5.378137;0.100000
104281;5.378137;0.100000
104292;5.378137;0.100000
104303;5.378137;0.100000
104314;5.378137;0.100000
104325;5.378137;0.100000
104336;5.378137;0.100000
104347;5.378137;0.100000
104358;5.378137;0.100000
104369;5.378137;0.100000
104380;5.381205;0.100000
104391;5.391943;0.100000
104402;5.393476;0.100000
104413;5.393476;0.100000
104424;5.393476;0.100000
104435;5.393476;0.100000
104446;5.393476;0.100000
104457;5.393476;0.100000
104468;5.395010;0.100000
104479;5.393476;0.100000
104490;5.393476;0.100000
104501;5.393476;0.100000
104512;5.393476;0.100000
104523;5.393476;0.100000
104534;5.395010;0.100000
104545;5.405748;0.100000
104556;5.411884;0.100000
104567;5.411884;0.100000
104578;5.411884;0.100000
104589;5.411884;0.100000
104600;5.411884;0.100000
104611;5.411884;0.100000
104622;5.411884;0.100000
104633;5.411884;0.100000
104644;5.411884;0.100000
104655;5.411884;0.100000
104666;5.411884;0.100000
104677;5.411884;0.100000
104688;5.411884;0.100000
104699;5.419554;0.100000
104710;5.428758;0.100000
104721;5.428758;0.100000
104732;5.428758;0.100000
104743;5.428758;0.100000
104754;5.428758;0.100000
104765;5.428758;0.100000
104776;5.428758;0.100000
104787;5.428758;0.100000
104798;5.428758;0.100000
104809;5.428758;0.100000
104820;5.428758;0.100000
104831;5.428758;0.100000
104842;5.428758;0.100000
104853;5.433360;0.100000
104864;5.444098;0.100000
104875;5.445632;0.100000
104886;5.445632;0.100000
104897;5.445632;0.100000
104908;5.445632;0.100000
104919;5.445632;0.100000
104930;5.445632;0.100000
104941;5.445632;0.100000
104952;5.445632;0.100000
104963;5.445632;0.100000
104974;5.445632;0.100000
104985;5.445632;0.100000
104996;5.445632;0.100000
105007;5.447166;0.100000
105018;5.457904;0.100000
105029;5.460972;0.100000
105040;5.460972;0.100000
105051;5.462506;0.100000
105062;5.460972;0.100000
105073;5.460972;0.100000
105084;5.460972;0.100000
105095;5.462506;0.100000
105106;5.462506;0.100000
105117;5.460972;0.100000
105128;5.462506;0.100000
105139;5.460972;0.100000
105150;5.460972;0.100000
105161;5.460972;0.100000
105172;5.471710;0.100000
105183;5.479380;0.100000
105194;5.479380;0.100000
105205;5.479380;0.100000
105216;5.479380;0.100000
105227;5.479380;0.100000
105238;5.479380;0.100000
